season,date,city,state
1881-1882,1882-02-10,Philadelphia,PA
1881-1882,1882-02-11,Philadelphia,PA
1881-1882,1882-02-13,Trenton,NJ
1881-1882,1882-02-14,New Brunswick,NJ
1881-1882,1882-02-15,Easton,PA
1881-1882,1882-02-16,South Bethlehem,PA
1881-1882,1882-02-17,Wilkes-Barre,PA
1881-1882,1882-02-18,Scranton,PA
1881-1882,1882-02-20,Binghamton,NY
1881-1882,1882-02-21,Hornellsville,NY
1881-1882,1882-02-22,Corning,NY
1881-1882,1882-02-23,Elmira,NY
1881-1882,1882-02-24,Ithaca,NY
1881-1882,1882-02-25,Owego,NY
1881-1882,1882-02-27,Port Jervis,NY
1881-1882,1882-02-28,Middletown,NY
1881-1882,1882-03-01,Paterson,NJ
1881-1882,1882-03-02,Newark,NJ
1881-1882,1882-03-03,Newark,NJ
1881-1882,1882-03-04,Newark,NJ
1881-1882,1882-03-06,Brooklyn,NY
1881-1882,1882-03-07,Brooklyn,NY
1881-1882,1882-03-08,Brooklyn,NY
1881-1882,1882-03-09,Brooklyn,NY
1881-1882,1882-03-10,Brooklyn,NY
1881-1882,1882-03-11,Brooklyn,NY
1881-1882,1882-03-13,New York,NY
1881-1882,1882-03-14,New York,NY
1881-1882,1882-03-15,New York,NY
1881-1882,1882-03-16,New York,NY
1881-1882,1882-03-17,New York,NY
1881-1882,1882-03-18,New York,NY
1881-1882,1882-03-20,Stamford,CT
1881-1882,1882-03-21,Danbury,CT
1881-1882,1882-03-22,South Norwalk,CT
1881-1882,1882-03-23,Bridgeport,CT
1881-1882,1882-03-24,Waterbury,CT
1881-1882,1882-03-25,New Haven,CT
1881-1882,1882-03-27,Middletown,CT
1881-1882,1882-03-28,Hartford,CT
1881-1882,1882-03-29,Springfield,MA
1881-1882,1882-03-30,Worcester,MA
1881-1882,1882-03-31,Woonsocket,RI
1881-1882,1882-04-03,New York,NY
1881-1882,1882-04-04,New York,NY
1881-1882,1882-04-05,New York,NY
1881-1882,1882-04-06,New York,NY
1881-1882,1882-04-07,New York,NY
1881-1882,1882-04-08,New York,NY
